SampleID,Treatment,Cycle,Group,Ionophore_Starter,Ionophore_Grower,Ionophore_Finisher,Vaccine,ProbioticA,ProbioticB,Reducedcp,Essentialoil,Stimbiotic,Mortality,Weight,FCR2kg,ADG,EPEF,FPD.score,FPD.Prev,HB.score,HB.Prev
MP1,C1_T1,C1,T1,Yes,Yes,Yes,No,No,No,No,No,No,1.76666667,2.41675798,1.42517253,58.94531668,383.4640178,0.03333333,2.66666667,0.04333333,3.33333333
MP2,C1_T1,C1,T1,Yes,Yes,Yes,No,No,No,No,No,No,1.76666667,2.41675798,1.42517253,58.94531668,383.4640178,0.03333333,2.66666667,0.04333333,3.33333333
MP3,C1_T1,C1,T1,Yes,Yes,Yes,No,No,No,No,No,No,1.76666667,2.41675798,1.42517253,58.94531668,383.4640178,0.03333333,2.66666667,0.04333333,3.33333333
MP4,C1_T1,C1,T1,Yes,Yes,Yes,No,No,No,No,No,No,1.76666667,2.41675798,1.42517253,58.94531668,383.4640178,0.03333333,2.66666667,0.04333333,3.33333333
MP5,C1_T1,C1,T1,Yes,Yes,Yes,No,No,No,No,No,No,1.76666667,2.41675798,1.42517253,58.94531668,383.4640178,0.03333333,2.66666667,0.04333333,3.33333333
MP6,C1_T1,C1,T1,Yes,Yes,Yes,No,No,No,No,No,No,1.76666667,2.41675798,1.42517253,58.94531668,383.4640178,0.03333333,2.66666667,0.04333333,3.33333333
MP7,C1_T1,C1,T1,Yes,Yes,Yes,No,No,No,No,No,No,1.76666667,2.41675798,1.42517253,58.94531668,383.4640178,0.03333333,2.66666667,0.04333333,3.33333333
MP8,C1_T1,C1,T1,Yes,Yes,Yes,No,No,No,No,No,No,1.76666667,2.41675798,1.42517253,58.94531668,383.4640178,0.03333333,2.66666667,0.04333333,3.33333333
MP9,C1_T1,C1,T1,Yes,Yes,Yes,No,No,No,No,No,No,1.76666667,2.41675798,1.42517253,58.94531668,383.4640178,0.03333333,2.66666667,0.04333333,3.33333333
MP10,C1_T1,C1,T1,Yes,Yes,Yes,No,No,No,No,No,No,1.76666667,2.41675798,1.42517253,58.94531668,383.4640178,0.03333333,2.66666667,0.04333333,3.33333333
MP11,C1_T2,C1,T2,No,No,No,Yes,No,No,No,No,No,2.2,2.41766528,1.42558437,58.96744585,383.4091469,0.02666667,2.33333333,0.02,1.66666667
MP12,C1_T2,C1,T2,No,No,No,Yes,No,No,No,No,No,2.2,2.41766528,1.42558437,58.96744585,383.4091469,0.02666667,2.33333333,0.02,1.66666667
MP13,C1_T2,C1,T2,No,No,No,Yes,No,No,No,No,No,2.2,2.41766528,1.42558437,58.96744585,383.4091469,0.02666667,2.33333333,0.02,1.66666667
MP14,C1_T2,C1,T2,No,No,No,Yes,No,No,No,No,No,2.2,2.41766528,1.42558437,58.96744585,383.4091469,0.02666667,2.33333333,0.02,1.66666667
MP15,C1_T2,C1,T2,No,No,No,Yes,No,No,No,No,No,2.2,2.41766528,1.42558437,58.96744585,383.4091469,0.02666667,2.33333333,0.02,1.66666667
MP16,C1_T2,C1,T2,No,No,No,Yes,No,No,No,No,No,2.2,2.41766528,1.42558437,58.96744585,383.4091469,0.02666667,2.33333333,0.02,1.66666667
MP17,C1_T2,C1,T2,No,No,No,Yes,No,No,No,No,No,2.2,2.41766528,1.42558437,58.96744585,383.4091469,0.02666667,2.33333333,0.02,1.66666667
MP18,C1_T2,C1,T2,No,No,No,Yes,No,No,No,No,No,2.2,2.41766528,1.42558437,58.96744585,383.4091469,0.02666667,2.33333333,0.02,1.66666667
MP19,C1_T2,C1,T2,No,No,No,Yes,No,No,No,No,No,2.2,2.41766528,1.42558437,58.96744585,383.4091469,0.02666667,2.33333333,0.02,1.66666667
MP20,C1_T2,C1,T2,No,No,No,Yes,No,No,No,No,No,2.2,2.41766528,1.42558437,58.96744585,383.4091469,0.02666667,2.33333333,0.02,1.66666667