"","mz","rtime","p-value","t-score"
"1",215.019240730116,0.627,0.954137789241643,-0.0584601443357145
"2",246.097230405514,11.298,0.948283960016514,0.0657944765209195
"3",375.291170549329,1.089,0.898877670985145,-0.129193302789132
"4",313.238879952394,1.078,0.961289525728481,-0.0493538754904485
"5",171.067015592185,3.089,0.604364069400895,-0.527800212193497
"6",441.177515671893,10.943,0.352163076363122,-0.959284677282642
"7",371.119964703824,13.194,0.829376775240031,-0.218657648723116
"8",447.348438623429,0.763,0.908604558688523,0.11661721608685
"9",325.107612728672,6.867,0.654152052573389,0.456939316831094
"10",139.984894356841,4.903,0.562709954877414,-0.591406988042326
"11",211.072989272105,8.373,0.34948785311546,-0.960950796468606
"12",244.092925984728,0.712,0.62385379804571,0.499400299875434
"13",507.232061491484,9.385,0.668137187211198,-0.435846211297466
"14",341.10427144193,1.097,0.550070985634879,0.610741980127493
"15",186.041487596284,13.793,0.777309554388403,0.288372306881255
"16",379.174097713346,3.78,0.592215494855875,0.545715231330666
"17",269.175925117674,1.934,0.582426667489684,-0.560111640565111
"18",347.222039379375,8.445,0.2489103878318,1.19243517676251
"19",439.126359352378,0.574,0.731465944092053,-0.34920007581113
"20",447.166924543793,1.672,0.146454906791835,1.54606643934656
"21",344.151257764214,3.134,0.80010140182059,0.257820036364428
"22",111.082099296953,2.731,0.835280273304521,-0.210972542906713
"23",423.188195974007,3.701,0.823708222033996,-0.226416103659056
"24",260.99279266092,0.631,0.0875803546610872,-1.87323509461187
"25",393.230219134611,0.541,0.652912462942619,0.458648068629917
"26",165.077416388711,5.793,0.336416951531427,1.00357280702725
"27",239.077631491236,2.792,0.334700165456736,-0.991274690594363
"28",397.185904968713,2.775,0.528166100977096,0.644376924390973
"29",198.041108949844,1.322,0.639774106869383,-0.476476006665607
"30",171.077951568879,11.436,0.925277008011449,0.095226492354475
"31",156.030927633281,10.128,0.216097163205722,-1.31190570184314
"32",182.082556159727,2.21,0.996143992704636,0.00490397272826536
"33",175.072067591111,0.667,0.140193149639698,1.59334322168813
"34",205.083586583839,10.174,0.402573666849061,0.862982248069287
"35",227.104532108165,6.32,0.923530977597048,-0.0974286394772236
"36",152.986183548985,0.607,0.870541457847494,-0.165521938825438
"37",269.103133948361,11.077,0.0323558786874716,-2.44753560727822
"38",177.076626526394,0.698,0.626714125499994,-0.494827266264702
"39",402.132536559183,2.371,0.984719336183749,-0.0195156701437363
"40",319.114092422385,8.935,0.981613959940307,-0.0234624107460697
"41",175.072134590261,0.646,0.140193149639698,1.59334322168813
"42",495.261427826501,6.486,0.641805997005045,-0.47313462939508
"43",241.14394461582,6.823,0.142165751523894,-1.54354594839632
"44",395.279439483786,9.832,0.776963666912926,-0.288100326198832
"45",184.025490366993,0.898,0.110846362758423,-1.72950512391746
"46",795.459110505032,7.584,0.00549177657443614,3.56277664954846
"47",137.036006886719,2.71,0.776946249462445,0.287723640494702
"48",203.013924281558,0.73,0.245937264079102,-1.20524232767123
"49",429.159701615321,0.818,0.770091588631498,0.297136883499737
"50",299.091705436662,5.009,0.934520482849371,0.0833813707882378
"51",129.067409201516,12.024,0.647823400674425,-0.464569063866895
"52",335.081555401471,0.723,0.468619480987076,0.744679239016294
"53",191.056608339097,8.512,0.872057312080057,-0.163478139329516
"54",391.322790218133,0.757,0.733541138525718,0.34594603343578
"55",363.144229705237,4.304,0.554900577892492,0.602903303139745
"56",627.308587018672,9.809,0.135863256815934,-1.57584064694412
"57",625.292874692656,9.575,0.437799641545006,-0.794724663493863
"58",373.084090429453,3.658,0.927375871808233,0.092455934264311
"59",333.06437674322,0.662,0.398187338361001,0.87322308513578
"60",248.129559486451,2.187,0.687280993224876,-0.409136044754326
"61",353.157957050763,11.407,0.747154272485642,0.328093643633279
"62",349.23768739851,8.725,0.403416057418613,0.855812996921203
"63",291.044900500925,3.317,0.888919178314467,0.142098111167989
"64",237.09888517441,2.383,0.687443844301117,0.409236238950397
"65",242.049651821324,1.404,0.180550167459348,-1.42800134168207
"66",371.168470203564,11.808,0.395946593868723,-0.879626972660843
"67",221.081164057822,3.967,0.267605644737158,-1.15110860256683
"68",319.1922059647,1.073,0.18565992068886,1.40171844609865
"69",343.213383687858,3.481,0.791942697262336,0.267745925494947
"70",395.219611643395,9.859,0.717605441657686,0.367399159534901
"71",333.139020509141,6.149,0.591102917292167,0.549293382268294
"72",331.085668775497,2.405,0.576645291995247,-0.569195306228271
"73",453.395625547812,0.748,0.239467337947515,1.23649932169688
"74",243.196648322324,1.031,0.37049150275665,-0.923170328158333
"75",201.112566694129,3.191,0.146818007209448,-1.56474855502849
"76",479.447490676123,0.676,0.409135027217812,0.851550262501186
"77",451.216812471886,7.343,0.0806490767341426,1.87989995534435
"78",331.123673314726,0.715,0.363222688364417,0.941967939996481
"79",213.052186247969,3.108,0.511428859567032,-0.670230646726504
"80",174.07765798354,8.495,0.642912061579644,0.474509504461451
"81",348.222786679267,9.345,0.847074357239578,-0.195745205023041
"82",383.316921947828,0.83,0.361741007657991,0.941358523673529
"83",157.025940154928,8.477,0.432070287829727,-0.804929336073499
"84",168.989893606312,0.553,0.984700464499647,0.0194457681930106
"85",110.98527344251,0.633,0.624916250995576,0.499981208338095
"86",209.00987694101,13.063,0.4709752195211,-0.73725624143876
"87",219.087793310988,9.748,0.979131149915951,-0.0265298470718692
"88",389.307046990942,0.759,0.864250072887493,0.173609240877346
"89",122.976423124217,2.008,0.998675209016631,-0.00168475315710168
"90",225.112805538158,3.595,0.940414528073227,-0.0758136876305093
"91",263.149911688906,2.601,0.360544574613529,-0.941930248290428
"92",203.129614551957,3.413,0.204053496533348,-1.33549352490446
"93",471.057027267109,12.728,0.968934793433369,-0.039517588500162
"94",163.061744104299,8.499,0.663387730245563,-0.442670130256502
"95",169.025643977095,1.008,0.687398471784181,-0.409466633624271
"96",225.055364522188,8.444,0.357886525613014,-0.943687928993097
"97",259.118729093007,10.957,0.798197566797833,0.259879367475749
"98",323.102490033196,4.011,0.56555116679268,-0.59147456089679
"99",199.073211101786,3.84,0.559124229850722,-0.596305580484609
"100",260.023771436066,9.99,0.708979427313183,-0.379210823191085
